,Pays,Compétition,URL
37,France,Coupe de France (France),https://www.coteur.com/cotes/foot/france/coupe-de-france
35,France,Ligue 1 (France),https://www.coteur.com/cotes/foot/france/ligue-1
36,France,Ligue 2 (France),https://www.coteur.com/cotes/foot/france/ligue-2
0,Algérie,Division 1 (Algérie),https://www.coteur.com/cotes/foot/algerie/division-1-1
3,Allemagne,Bundesliga 2. (Allemagne),https://www.coteur.com/cotes/foot/allemagne/bundesliga-2
1,Allemagne,Bundesliga D1 (Allemagne),https://www.coteur.com/cotes/foot/allemagne/bundesliga-d1
2,Allemagne,Pokal Cup (Allemagne),https://www.coteur.com/cotes/foot/allemagne/pokal-cup
4,Amérique du Sud,Copa Libertadores (Amérique du Sud),https://www.coteur.com/cotes/foot/amerique-du-sud/copa-libertadores
5,Amérique du Sud,Qualification coupe du monde Zone AmSud (Amérique du Sud),https://www.coteur.com/cotes/foot/amerique-du-sud/qualification-coupe-du-monde-zone-amsud
7,Angleterre,FA CUP (Angleterre),https://www.coteur.com/cotes/foot/angleterre/fa-cup
8,Angleterre,League Cup - EFL (Angleterre),https://www.coteur.com/cotes/foot/angleterre/league-cup-efl
6,Angleterre,Premier League (Angleterre),https://www.coteur.com/cotes/foot/angleterre/premier-league
9,Angleterre,The Championship (Angleterre),https://www.coteur.com/cotes/foot/angleterre/the-championship
10,Arabie Saoudite,Saudi Pro League (Arabie Saoudite),https://www.coteur.com/cotes/foot/arabie-saoudite/saudi-pro-league
11,Argentine,Primera Division (Argentine),https://www.coteur.com/cotes/foot/argentine/primera-division-2
12,Australie,A-League (Australie),https://www.coteur.com/cotes/foot/australie/a-league
13,Autriche,Bundesliga (Autriche),https://www.coteur.com/cotes/foot/autriche/bundesliga
14,Azerbaïdjan,Première Division (Azerbaïdjan),https://www.coteur.com/cotes/foot/azerbaidjan/premiere-division-1
15,Belgique,Jupiler Pro Ligue (Belgique),https://www.coteur.com/cotes/foot/belgique/jupiler-pro-ligue
16,Bosnie-Herzégovine,Premier Liga (Bosnie-Herzégovine),https://www.coteur.com/cotes/foot/bosnie-herzegovine/premier-liga-1
17,Bulgarie,A PFG (Bulgarie),https://www.coteur.com/cotes/foot/bulgarie/a-pfg
18,Chili,Primera Division (Chili),https://www.coteur.com/cotes/foot/chili/primera-division-4
19,Chypre,1ère division (Chypre),https://www.coteur.com/cotes/foot/chypre/1ere-division
20,Colombie,Liga Postobon I (Colombie),https://www.coteur.com/cotes/foot/colombie/liga-postobon-i
21,Corée du Sud,K-League 1 (Corée du Sud),https://www.coteur.com/cotes/foot/coree-du-sud/k-league-1
22,Croatie,1.HNL (Croatie),https://www.coteur.com/cotes/foot/croatie/1-hnl
23,Danemark,Superligaen (Danemark),https://www.coteur.com/cotes/foot/danemark/superligaen
24,Ecosse,Premiership (Ecosse),https://www.coteur.com/cotes/foot/ecosse/premiership
25,Equateur,Série A (Equateur),https://www.coteur.com/cotes/foot/equateur/serie-a-3
28,Espagne,Coupe du roi (Espagne),https://www.coteur.com/cotes/foot/espagne/coupe-du-roi
27,Espagne,Liga Adelante (Espagne),https://www.coteur.com/cotes/foot/espagne/liga-adelante
26,Espagne,Liga BBVA (Espagne),https://www.coteur.com/cotes/foot/espagne/liga-bbva
29,Estonie,Meistriliiga (Estonie),https://www.coteur.com/cotes/foot/estonie/meistriliiga
30,Etats-Unis,Major League Soccer (Etats-Unis),https://www.coteur.com/cotes/foot/etats-unis/major-league-soccer
